,node_loc,technology,year_vtg,year_act,lvl,mrg
127,South Africa,coal_ppl,2050,2050,29.09434,0.0
128,South Africa,coal_ppl,2050,2060,29.09434,0.0
129,South Africa,coal_ppl,2050,2070,29.09434,0.0
130,South Africa,coal_ppl,2060,2060,15.793289,0.0
131,South Africa,coal_ppl,2060,2070,15.793289,0.0
132,South Africa,coal_ppl,2070,2070,26.253654,0.0
133,South Africa,igcc,2010,2010,0.0,0.0
134,South Africa,igcc,2010,2020,0.0,0.0
135,South Africa,igcc,2010,2030,0.0,0.0
136,South Africa,igcc,2010,2040,0.0,0.0
137,South Africa,igcc,2020,2020,3.574807,0.0
138,South Africa,igcc,2020,2030,3.574807,0.0
139,South Africa,igcc,2020,2040,3.574807,0.0
140,South Africa,igcc,2030,2030,1.246458,0.0
141,South Africa,igcc,2030,2040,1.246458,0.0
142,South Africa,igcc,2030,2050,1.246458,0.0
143,South Africa,igcc,2040,2040,0.43461305,0.0
144,South Africa,igcc,2040,2050,0.43461305,0.0
145,South Africa,igcc,2040,2060,0.43461305,0.0
146,South Africa,igcc,2050,2050,0.1515402,0.0
147,South Africa,igcc,2050,2060,0.1515402,0.0
148,South Africa,igcc,2050,2070,0.1515402,0.0
149,South Africa,igcc,2060,2060,0.0528388,0.0
150,South Africa,igcc,2060,2070,0.0528388,0.0
151,South Africa,igcc,2070,2070,0.018423751,0.0
152,South Africa,igcc_ccs,2020,2020,0.0,6.530815
153,South Africa,igcc_ccs,2020,2030,0.0,0.0
154,South Africa,igcc_ccs,2020,2040,0.0,0.35655522
155,South Africa,igcc_ccs,2030,2030,0.0,0.0
156,South Africa,igcc_ccs,2030,2040,0.0,0.0
157,South Africa,igcc_ccs,2030,2050,0.0,0.0
158,South Africa,igcc_ccs,2040,2040,0.0,20.019268
159,South Africa,igcc_ccs,2040,2050,0.0,0.0
160,South Africa,igcc_ccs,2040,2060,0.0,0.0
161,South Africa,igcc_ccs,2050,2050,0.0,11.349298
162,South Africa,igcc_ccs,2050,2060,0.0,0.0
163,South Africa,igcc_ccs,2050,2070,0.0,0.0
164,South Africa,igcc_ccs,2060,2060,0.0,5.2905054
165,South Africa,igcc_ccs,2060,2070,0.0,0.0
166,South Africa,igcc_ccs,2070,2070,0.0,1.3416716
167,South Africa,coal_i,1990,1990,0.0,0.0
168,South Africa,coal_i,1995,1995,0.0,0.0
169,South Africa,coal_i,1995,2020,0.0,0.0
170,South Africa,coal_i,2000,2000,0.0,0.0
171,South Africa,coal_i,2000,2020,0.0,0.0
172,South Africa,coal_i,2005,2005,0.0,0.0
173,South Africa,coal_i,2005,2020,0.0,0.0
174,South Africa,coal_i,2005,2030,0.0,0.0
175,South Africa,coal_i,2010,2010,0.0,0.0
176,South Africa,coal_i,2010,2020,0.0,0.0
177,South Africa,coal_i,2010,2030,0.0,0.25828168
178,South Africa,coal_i,2020,2020,10.692774,0.0
179,South Africa,coal_i,2020,2030,9.9830475,0.0
180,South Africa,coal_i,2020,2040,4.9915237,0.0
181,South Africa,coal_i,2030,2030,6.4021583,0.0
182,South Africa,coal_i,2030,2040,6.4021583,0.0
183,South Africa,coal_i,2030,2050,3.2010791,0.0
184,South Africa,coal_i,2040,2040,8.755335,0.0
185,South Africa,coal_i,2040,2050,8.755335,0.0
186,South Africa,coal_i,2040,2060,4.3776674,0.0
187,South Africa,coal_i,2050,2050,9.803206,0.0
188,South Africa,coal_i,2050,2060,8.573338,0.0
189,South Africa,coal_i,2050,2070,0.0,0.0
190,South Africa,coal_i,2060,2060,9.783119,0.0
191,South Africa,coal_i,2060,2070,0.0,0.0
192,South Africa,coal_i,2070,2070,22.224617,0.0
193,South Africa,gas_cc,1995,1995,0.0,0.0
194,South Africa,gas_cc,1995,2020,0.0,0.0
195,South Africa,gas_cc,2000,2000,0.0,0.0
196,South Africa,gas_cc,2000,2020,0.0,0.0
197,South Africa,gas_cc,2000,2030,0.0,0.0
198,South Africa,gas_cc,2005,2005,0.0,0.0
199,South Africa,gas_cc,2005,2020,0.0,0.0
200,South Africa,gas_cc,2005,2030,0.0,0.0
201,South Africa,gas_cc,2010,2010,0.0,0.0
202,South Africa,gas_cc,2010,2020,0.0,0.0
203,South Africa,gas_cc,2010,2030,0.0,0.0
204,South Africa,gas_cc,2010,2040,0.0,0.0
205,South Africa,gas_cc,2020,2020,16.666084,0.0
206,South Africa,gas_cc,2020,2030,16.666084,0.0
207,South Africa,gas_cc,2020,2040,16.666084,0.0
208,South Africa,gas_cc,2030,2030,16.505503,0.0
209,South Africa,gas_cc,2030,2040,16.505503,0.0
210,South Africa,gas_cc,2030,2050,16.505503,0.0
211,South Africa,gas_cc,2040,2040,8.154162,0.0
212,South Africa,gas_cc,2040,2050,8.154162,0.0
213,South Africa,gas_cc,2040,2060,8.154162,0.0
214,South Africa,gas_cc,2050,2050,29.034634,0.0
215,South Africa,gas_cc,2050,2060,29.034634,0.0
216,South Africa,gas_cc,2050,2070,29.034634,0.0
217,South Africa,gas_cc,2060,2060,30.0,0.0
218,South Africa,gas_cc,2060,2070,30.0,0.0
219,South Africa,gas_cc,2070,2070,18.905544,0.0
220,South Africa,gas_cc_ccs,2020,2020,0.0,0.0
221,South Africa,gas_cc_ccs,2020,2030,0.0,0.0
222,South Africa,gas_cc_ccs,2020,2040,0.0,0.0
223,South Africa,gas_cc_ccs,2030,2030,0.0,0.0
224,South Africa,gas_cc_ccs,2030,2040,0.0,7.6418715
225,South Africa,gas_cc_ccs,2030,2050,0.0,0.0
226,South Africa,gas_cc_ccs,2040,2040,0.0,3.915157
227,South Africa,gas_cc_ccs,2040,2050,0.0,0.0
228,South Africa,gas_cc_ccs,2040,2060,0.0,0.0
229,South Africa,gas_cc_ccs,2050,2050,0.0,2.759613
230,South Africa,gas_cc_ccs,2050,2060,0.0,0.0
231,South Africa,gas_cc_ccs,2050,2070,0.0,0.0
232,South Africa,gas_cc_ccs,2060,2060,0.0,1.1487304
233,South Africa,gas_cc_ccs,2060,2070,0.0,0.0
234,South Africa,gas_cc_ccs,2070,2070,0.0,0.75811464
235,South Africa,gas_ct,1990,1990,0.0,0.0
236,South Africa,gas_ct,1990,2020,0.0,0.0
237,South Africa,gas_ct,1995,1995,0.0,0.0
238,South Africa,gas_ct,1995,2020,0.0,0.0
239,South Africa,gas_ct,2000,2000,0.0,0.0
240,South Africa,gas_ct,2000,2020,0.0,0.0
241,South Africa,gas_ct,2000,2030,0.0,0.0
242,South Africa,gas_ct,2005,2005,0.0,0.0
243,South Africa,gas_ct,2005,2020,0.0,0.0
244,South Africa,gas_ct,2005,2030,0.0,0.0
245,South Africa,gas_ct,2010,2010,0.0,0.0
246,South Africa,gas_ct,2010,2020,0.0,0.0
247,South Africa,gas_ct,2010,2030,0.0,0.0
248,South Africa,gas_ct,2010,2040,0.0,0.0
249,South Africa,gas_ct,2020,2020,0.0,0.0
250,South Africa,gas_ct,2020,2030,0.0,0.0
251,South Africa,gas_ct,2020,2040,0.0,0.0
252,South Africa,gas_ct,2030,2030,0.0,0.0
253,South Africa,gas_ct,2030,2040,0.0,0.0
254,South Africa,gas_ct,2030,2050,0.0,0.0
255,South Africa,gas_ct,2040,2040,0.0,0.0
256,South Africa,gas_ct,2040,2050,0.0,0.0
257,South Africa,gas_ct,2040,2060,0.0,0.0
258,South Africa,gas_ct,2050,2050,0.0,0.0
259,South Africa,gas_ct,2050,2060,0.0,0.0
260,South Africa,gas_ct,2050,2070,0.0,0.0
261,South Africa,gas_ct,2060,2060,0.0,0.0
262,South Africa,gas_ct,2060,2070,0.0,0.0
263,South Africa,gas_ct,2070,2070,0.0,0.0
264,South Africa,gas_ppl,1990,1990,0.0,0.0
265,South Africa,gas_ppl,1990,2020,0.0,0.0
266,South Africa,gas_ppl,1995,1995,0.0,0.0
267,South Africa,gas_ppl,1995,2020,0.0,0.0
268,South Africa,gas_ppl,2000,2000,0.0,0.0
269,South Africa,gas_ppl,2000,2020,0.0,0.0
270,South Africa,gas_ppl,2000,2030,0.0,0.0
271,South Africa,gas_ppl,2005,2005,0.0,0.0
272,South Africa,gas_ppl,2005,2020,0.0,2.6656203
273,South Africa,gas_ppl,2005,2030,0.0,0.0
274,South Africa,gas_ppl,2010,2010,0.0,0.0
275,South Africa,gas_ppl,2010,2020,0.0,2.6656203
276,South Africa,gas_ppl,2010,2030,0.0,0.0
277,South Africa,gas_ppl,2010,2040,0.0,0.0
278,South Africa,gas_ppl,2020,2020,0.29513958,0.0
279,South Africa,gas_ppl,2020,2030,0.0,0.0
280,South Africa,gas_ppl,2020,2040,0.0,0.0
281,South Africa,gas_ppl,2030,2030,0.102908805,0.0
282,South Africa,gas_ppl,2030,2040,0.0,0.0
283,South Africa,gas_ppl,2030,2050,0.0,0.0
284,South Africa,gas_ppl,2040,2040,0.03588208,0.0
285,South Africa,gas_ppl,2040,2050,0.0,0.0
286,South Africa,gas_ppl,2040,2060,0.0,0.0
287,South Africa,gas_ppl,2050,2050,0.012511307,0.0
288,South Africa,gas_ppl,2050,2060,0.0,0.0
289,South Africa,gas_ppl,2050,2070,0.0,0.0
290,South Africa,gas_ppl,2060,2060,0.004362423,0.0
291,South Africa,gas_ppl,2060,2070,0.0,0.0
292,South Africa,gas_ppl,2070,2070,0.001521083,0.0
293,South Africa,gas_t_d,1990,1990,0.0,0.0
294,South Africa,gas_t_d,1990,2020,0.0,0.0
295,South Africa,gas_t_d,1990,2030,0.0,0.0
296,South Africa,gas_t_d,1995,1995,0.0,0.0
297,South Africa,gas_t_d,1995,2020,0.0,0.0
298,South Africa,gas_t_d,1995,2030,0.0,0.0
299,South Africa,gas_t_d,2000,2000,0.0,0.0
300,South Africa,gas_t_d,2000,2020,0.0,0.0
301,South Africa,gas_t_d,2000,2030,0.0,0.0
302,South Africa,gas_t_d,2000,2040,0.0,0.0
303,South Africa,gas_t_d,2005,2005,0.0,0.0
304,South Africa,gas_t_d,2005,2020,0.0,0.0
305,South Africa,gas_t_d,2005,2030,0.0,0.0
306,South Africa,gas_t_d,2005,2040,0.0,0.0
307,South Africa,gas_t_d,2010,2010,0.0,0.0
308,South Africa,gas_t_d,2010,2020,0.0,0.0
309,South Africa,gas_t_d,2010,2030,0.0,0.0
310,South Africa,gas_t_d,2010,2040,0.0,0.0
311,South Africa,gas_t_d,2010,2050,0.0,0.0
312,South Africa,gas_t_d,2020,2020,2.0887208,0.0
313,South Africa,gas_t_d,2020,2030,2.0887208,0.0
314,South Africa,gas_t_d,2020,2040,2.0887208,0.0
315,South Africa,gas_t_d,2020,2050,0.0,0.0
316,South Africa,gas_t_d,2030,2030,0.027564954,0.0
317,South Africa,gas_t_d,2030,2040,0.027564954,0.0
318,South Africa,gas_t_d,2030,2050,0.027564954,0.0
319,South Africa,gas_t_d,2030,2060,0.027564954,0.0
320,South Africa,gas_t_d,2040,2040,1.3199042,0.0
321,South Africa,gas_t_d,2040,2050,1.3199042,0.0
322,South Africa,gas_t_d,2040,2060,1.3199042,0.0
323,South Africa,gas_t_d,2040,2070,1.3199042,0.0
324,South Africa,gas_t_d,2050,2050,4.920333,0.0
325,South Africa,gas_t_d,2050,2060,4.920333,0.0
326,South Africa,gas_t_d,2050,2070,4.920333,0.0
327,South Africa,gas_t_d,2060,2060,3.074688,0.0
328,South Africa,gas_t_d,2060,2070,3.074688,0.0
329,South Africa,gas_t_d,2070,2070,3.5458603,0.0
330,South Africa,gas_i,1990,1990,0.0,0.0
331,South Africa,gas_i,1995,1995,0.0,0.0
332,South Africa,gas_i,1995,2020,0.0,0.0
333,South Africa,gas_i,2000,2000,0.0,0.0
334,South Africa,gas_i,2000,2020,0.0,0.0
335,South Africa,gas_i,2005,2005,0.0,0.0
336,South Africa,gas_i,2005,2020,0.0,0.0
337,South Africa,gas_i,2005,2030,0.0,0.0
338,South Africa,gas_i,2010,2010,0.0,0.0
339,South Africa,gas_i,2010,2020,0.0,0.0
340,South Africa,gas_i,2010,2030,0.0,2.2966743
341,South Africa,gas_i,2020,2020,1.583777,0.0
342,South Africa,gas_i,2020,2030,0.0,2.2966743
343,South Africa,gas_i,2020,2040,0.0,0.0
344,South Africa,gas_i,2030,2030,0.94826573,0.0
345,South Africa,gas_i,2030,2040,0.0,1.4099588
346,South Africa,gas_i,2030,2050,0.0,0.0
347,South Africa,gas_i,2040,2040,0.5677617,0.0
348,South Africa,gas_i,2040,2050,0.0,0.67628115
349,South Africa,gas_i,2040,2060,0.0,0.0
350,South Africa,gas_i,2050,2050,0.33993992,0.0
351,South Africa,gas_i,2050,2060,0.0,0.076388076
352,South Africa,gas_i,2050,2070,0.0,0.0
353,South Africa,gas_i,2060,2060,0.20353457,0.0
354,South Africa,gas_i,2060,2070,0.0,0.0
355,South Africa,gas_i,2070,2070,0.12186367,0.0
356,South Africa,foil_ppl,1990,1990,0.0,0.0
357,South Africa,foil_ppl,1990,2020,0.0,0.0
358,South Africa,foil_ppl,1995,1995,0.0,0.0
359,South Africa,foil_ppl,1995,2020,0.0,0.0
360,South Africa,foil_ppl,2000,2000,0.0,0.0
361,South Africa,foil_ppl,2000,2020,0.00027,0.0
362,South Africa,foil_ppl,2000,2030,0.000135,0.0
363,South Africa,foil_ppl,2005,2005,0.0,0.0
364,South Africa,foil_ppl,2005,2020,0.0,0.0
365,South Africa,foil_ppl,2005,2030,0.0,0.0
366,South Africa,foil_ppl,2010,2010,0.0,0.0
367,South Africa,foil_ppl,2010,2020,0.024234302,0.0
368,South Africa,foil_ppl,2010,2030,0.0005958302,0.0
369,South Africa,foil_ppl,2010,2040,0.0002979151,0.0
370,South Africa,foil_ppl,2020,2020,0.1635094,0.0
371,South Africa,foil_ppl,2020,2030,0.0065982915,0.0
372,South Africa,foil_ppl,2020,2040,0.0,0.0
373,South Africa,foil_ppl,2030,2030,0.057012204,0.0
374,South Africa,foil_ppl,2030,2040,0.0,0.0
375,South Africa,foil_ppl,2030,2050,0.0,0.0
376,South Africa,foil_ppl,2040,2040,0.019878926,0.0
377,South Africa,foil_ppl,2040,2050,0.0010387657,0.0
378,South Africa,foil_ppl,2040,2060,0.0,0.0
379,South Africa,foil_ppl,2050,2050,0.0069313524,0.0
380,South Africa,foil_ppl,2050,2060,0.0003621952,0.0
381,South Africa,foil_ppl,2050,2070,0.0,0.0
382,South Africa,foil_ppl,2060,2060,0.0024168133,0.0
383,South Africa,foil_ppl,2060,2070,0.00012628965,0.0
384,South Africa,foil_ppl,2070,2070,0.00084269064,0.0
385,South Africa,foil_i,1990,1990,0.0,0.0
386,South Africa,foil_i,1995,1995,0.0,0.0
387,South Africa,foil_i,1995,2020,0.0,0.0
388,South Africa,foil_i,2000,2000,0.0,0.0
389,South Africa,foil_i,2000,2020,0.0,0.0
390,South Africa,foil_i,2005,2005,0.0,0.0
391,South Africa,foil_i,2005,2020,0.0,0.0
392,South Africa,foil_i,2005,2030,0.0,0.0
393,South Africa,foil_i,2010,2010,0.0,0.0
394,South Africa,foil_i,2010,2020,0.0,0.0
395,South Africa,foil_i,2010,2030,0.0,3.7581944
396,South Africa,foil_i,2020,2020,2.1085513,0.0
397,South Africa,foil_i,2020,2030,0.0,3.7581944
398,South Africa,foil_i,2020,2040,0.0,0.0
399,South Africa,foil_i,2030,2030,1.2624675,0.0
400,South Africa,foil_i,2030,2040,0.0,2.3072054
401,South Africa,foil_i,2030,2050,0.0,0.0
402,South Africa,foil_i,2040,2040,0.7558859,0.0
403,South Africa,foil_i,2040,2050,0.0,0.9583189
404,South Africa,foil_i,2040,2060,0.0,0.0
405,South Africa,foil_i,2050,2050,0.45257682,0.0
406,South Africa,foil_i,2050,2060,0.22928607,0.0
407,South Africa,foil_i,2050,2070,0.0,0.0
408,South Africa,foil_i,2060,2060,0.27097446,0.0
409,South Africa,foil_i,2060,2070,0.0,0.0
410,South Africa,foil_i,2070,2070,0.16224241,0.0
411,South Africa,loil_ppl,1990,1990,0.0,0.0
412,South Africa,loil_ppl,1990,2020,0.0,0.0
413,South Africa,loil_ppl,1995,1995,0.0,0.0
414,South Africa,loil_ppl,1995,2020,0.0,0.0
415,South Africa,loil_ppl,2000,2000,0.0,0.0
416,South Africa,loil_ppl,2000,2020,0.0,0.0
417,South Africa,loil_ppl,2000,2030,0.0,0.0
418,South Africa,loil_ppl,2005,2005,0.0,0.0
419,South Africa,loil_ppl,2005,2020,0.45000002,0.0
420,South Africa,loil_ppl,2005,2030,0.45000002,0.0
421,South Africa,loil_ppl,2010,2010,0.0,0.0
422,South Africa,loil_ppl,2010,2020,0.29999998,0.0
423,South Africa,loil_ppl,2010,2030,0.29999998,0.0
424,South Africa,loil_ppl,2010,2040,0.06487218,0.0
425,South Africa,loil_ppl,2020,2020,0.20920706,0.0
426,South Africa,loil_ppl,2020,2030,0.20920706,0.0
427,South Africa,loil_ppl,2020,2040,0.0,0.0
428,South Africa,loil_ppl,2030,2030,0.07294599,0.0
429,South Africa,loil_ppl,2030,2040,0.0019659058,0.0
430,South Africa,loil_ppl,2030,2050,0.0019659058,0.0
431,South Africa,loil_ppl,2040,2040,0.025434693,0.0
432,South Africa,loil_ppl,2040,2050,0.025434693,0.0
433,South Africa,loil_ppl,2040,2060,0.025434693,0.0
434,South Africa,loil_ppl,2050,2050,0.0088685285,0.0
435,South Africa,loil_ppl,2050,2060,0.0088685285,0.0
436,South Africa,loil_ppl,2050,2070,0.0088685285,0.0
437,South Africa,loil_ppl,2060,2060,0.0030922648,0.0
438,South Africa,loil_ppl,2060,2070,0.0030922648,0.0
439,South Africa,loil_ppl,2070,2070,0.001078206,0.0
440,South Africa,loil_i,1990,1990,0.0,0.0
441,South Africa,loil_i,1995,1995,0.0,0.0
442,South Africa,loil_i,1995,2020,0.0,0.0
443,South Africa,loil_i,2000,2000,0.0,0.0
444,South Africa,loil_i,2000,2020,0.0,0.0
445,South Africa,loil_i,2005,2005,0.0,0.0
446,South Africa,loil_i,2005,2020,0.0,0.0
447,South Africa,loil_i,2005,2030,0.0,0.0
448,South Africa,loil_i,2010,2010,0.0,0.0
449,South Africa,loil_i,2010,2020,0.0,0.0
450,South Africa,loil_i,2010,2030,0.0,1.1650658
451,South Africa,loil_i,2020,2020,0.99384314,0.0
452,South Africa,loil_i,2020,2030,0.0,1.1650658
453,South Africa,loil_i,2020,2040,0.0,0.0
454,South Africa,loil_i,2030,2030,0.59505063,0.0
455,South Africa,loil_i,2030,2040,0.0,1.4099588
456,South Africa,loil_i,2030,2050,0.0,0.0
457,South Africa,loil_i,2040,2040,0.35627878,0.0
458,South Africa,loil_i,2040,2050,0.0,0.65766793
459,South Africa,loil_i,2040,2060,0.0,0.0
460,South Africa,loil_i,2050,2050,0.21331726,0.0
461,South Africa,loil_i,2050,2060,0.0,0.05777484
462,South Africa,loil_i,2050,2070,0.0,0.0
463,South Africa,loil_i,2060,2060,0.12772092,0.0
464,South Africa,loil_i,2060,2070,0.0,0.0
465,South Africa,loil_i,2070,2070,0.07647123,0.0
466,South Africa,elec_t_d,1990,1990,0.0,0.0
467,South Africa,elec_t_d,1990,2020,0.0,0.0
468,South Africa,elec_t_d,1990,2030,0.0,0.0
469,South Africa,elec_t_d,1990,2040,0.0,0.0
470,South Africa,elec_t_d,1990,2050,0.0,0.0
471,South Africa,elec_t_d,1995,1995,0.0,0.0
472,South Africa,elec_t_d,1995,2020,0.0,0.0
473,South Africa,elec_t_d,1995,2030,0.0,0.0
474,South Africa,elec_t_d,1995,2040,0.0,0.0
475,South Africa,elec_t_d,1995,2050,0.0,0.0
476,South Africa,elec_t_d,2000,2000,0.0,0.0
477,South Africa,elec_t_d,2000,2020,0.0,0.0
478,South Africa,elec_t_d,2000,2030,0.0,0.0
479,South Africa,elec_t_d,2000,2040,0.0,0.0
480,South Africa,elec_t_d,2000,2050,0.0,0.0
481,South Africa,elec_t_d,2000,2060,0.0,0.0
482,South Africa,elec_t_d,2005,2005,0.0,0.0
483,South Africa,elec_t_d,2005,2020,0.0,0.0
484,South Africa,elec_t_d,2005,2030,0.0,0.0
485,South Africa,elec_t_d,2005,2040,0.0,0.0
486,South Africa,elec_t_d,2005,2050,0.0,0.0
487,South Africa,elec_t_d,2005,2060,0.0,0.0
488,South Africa,elec_t_d,2010,2010,0.0,0.0
489,South Africa,elec_t_d,2010,2020,0.0,0.0
490,South Africa,elec_t_d,2010,2030,0.0,0.0
491,South Africa,elec_t_d,2010,2040,0.0,0.0
492,South Africa,elec_t_d,2010,2050,0.0,0.0
493,South Africa,elec_t_d,2010,2060,0.0,0.0
